data_split,Metadata_Time,overlap_bins,current_total_bins,reference_total_bins,union_bins,pct_overlap_of_reference,pct_overlap_of_current,pct_overlap_jaccard
train,0,994,1029,1442,1477,68.93203883495146,96.59863945578232,67.29857819905213
train,60,1068,1131,1442,1505,74.06380027739252,94.42970822281167,70.96345514950166
train,90,1135,1207,1442,1514,78.71012482662968,94.0347970173985,74.9669749009247
train,120,1211,1316,1442,1547,83.98058252427184,92.02127659574468,78.28054298642535
train,150,1263,1379,1442,1558,87.58668515950069,91.58810732414793,81.06546854942233
train,180,1311,1428,1442,1559,90.91539528432732,91.80672268907563,84.09236690186016
train,240,1346,1448,1442,1544,93.34257975034674,92.95580110497238,87.1761658031088
train,270,1338,1443,1442,1547,92.7877947295423,92.72349272349273,86.48998060762767
train,300,1347,1437,1442,1532,93.41192787794729,93.73695198329854,87.9242819843342
train,330,1337,1427,1442,1532,92.71844660194175,93.69306236860547,87.27154046997389
train,360,1442,1442,1442,1442,100,100,100
train,30,1054,1117,1442,1505,73.09292649098474,94.35989256938227,70.03322259136213
train,210,1325,1448,1442,1565,91.8862690707351,91.50552486187846,84.66453674121406
test,0,869,893,1442,1466,60.26352288488211,97.3124300111982,59.27694406548431
test,60,943,987,1442,1486,65.39528432732317,95.5420466058764,63.45895020188425
test,90,992,1042,1442,1492,68.79334257975034,95.20153550863724,66.48793565683646
test,120,1094,1156,1442,1504,75.86685159500693,94.63667820069205,72.73936170212765
test,150,1163,1249,1442,1528,80.65187239944521,93.11449159327462,76.11256544502618
test,180,1234,1335,1442,1543,85.57558945908461,92.43445692883896,79.97407647440052
test,240,1227,1320,1442,1535,85.09015256588071,92.95454545454545,79.93485342019544
test,270,1246,1336,1442,1532,86.40776699029126,93.26347305389221,81.33159268929504
test,300,1253,1343,1442,1532,86.89320388349515,93.29858525688756,81.78851174934726
test,330,1244,1321,1442,1519,86.26907073509015,94.17108251324754,81.89598420013166
test,360,1269,1353,1442,1526,88.00277392510402,93.79157427937916,83.15858453473132
test,30,917,963,1442,1488,63.592233009708735,95.22326064382139,61.626344086021504
test,210,1235,1341,1442,1548,85.64493758668516,92.09545115585384,79.78036175710594
